ArrayExpress_Sex_s	ArrayExpress_Species_s	ArrayExpress_StrainOrLine_s	AssemblyName_s	AvgSpotLen_l	BioSample_s	Center_Name_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Strain_s	sample_description_s	strain_s	Assay_Type_s	BioProject_s	Consent_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705943	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	397	Mus musculus	2015-02-21	ERR762662	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705944	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	352	Mus musculus	2015-02-21	ERR762663	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705890	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	372	Mus musculus	2015-02-21	ERR762609	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705891	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	362	Mus musculus	2015-02-21	ERR762610	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705894	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	389	Mus musculus	2015-02-21	ERR762613	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705855	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	370	Mus musculus	2015-02-21	ERR762574	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705949	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	375	Mus musculus	2015-02-21	ERR762668	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705950	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	384	Mus musculus	2015-02-21	ERR762669	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705951	250	Illumina HiSeq 2000	PAIRED		2016-02-24	770	347	Mus musculus	2015-02-21	ERR762670	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705952	250	Illumina HiSeq 2000	PAIRED		2016-02-24	770	370	Mus musculus	2015-02-21	ERR762671	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705902	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	350	Mus musculus	2015-02-21	ERR762621	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705903	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	358	Mus musculus	2015-02-21	ERR762622	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705904	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	342	Mus musculus	2015-02-21	ERR762623	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705905	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	358	Mus musculus	2015-02-21	ERR762624	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705906	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	362	Mus musculus	2015-02-21	ERR762625	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705907	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	365	Mus musculus	2015-02-21	ERR762626	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705908	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	377	Mus musculus	2015-02-21	ERR762627	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705909	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	351	Mus musculus	2015-02-21	ERR762628	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705961	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	363	Mus musculus	2015-02-21	ERR762680	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705962	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	374	Mus musculus	2015-02-21	ERR762681	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705930	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	358	Mus musculus	2015-02-21	ERR762649	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705931	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	386	Mus musculus	2015-02-21	ERR762650	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705945	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	370	Mus musculus	2015-02-21	ERR762664	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705946	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	351	Mus musculus	2015-02-21	ERR762665	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705967	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	384	Mus musculus	2015-02-21	ERR762686	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705947	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	367	Mus musculus	2015-02-21	ERR762666	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705948	250	Illumina HiSeq 2000	PAIRED		2016-02-24	770	367	Mus musculus	2015-02-21	ERR762667	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705901	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	385	Mus musculus	2015-02-21	ERR762620	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705954	250	Illumina HiSeq 2000	PAIRED		2016-02-24	770	366	Mus musculus	2015-02-21	ERR762673	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705955	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	369	Mus musculus	2015-02-21	ERR762674	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705973	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	369	Mus musculus	2015-02-21	ERR762692	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705974	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	388	Mus musculus	2015-02-21	ERR762693	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705975	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	370	Mus musculus	2015-02-21	ERR762694	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705976	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	388	Mus musculus	2015-02-21	ERR762695	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705977	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	387	Mus musculus	2015-02-21	ERR762696	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705978	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	394	Mus musculus	2015-02-21	ERR762697	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705979	250	Illumina HiSeq 2000	PAIRED		2016-02-24	770	403	Mus musculus	2015-02-21	ERR762698	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705956	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	370	Mus musculus	2015-02-21	ERR762675	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705957	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	387	Mus musculus	2015-02-21	ERR762676	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705958	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	351	Mus musculus	2015-02-21	ERR762677	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705959	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	365	Mus musculus	2015-02-21	ERR762678	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705960	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	355	Mus musculus	2015-02-21	ERR762679	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705963	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	374	Mus musculus	2015-02-21	ERR762682	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705986	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	406	Mus musculus	2015-02-21	ERR762705	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705987	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	365	Mus musculus	2015-02-21	ERR762706	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705988	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	364	Mus musculus	2015-02-21	ERR762707	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705929	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	391	Mus musculus	2015-02-21	ERR762648	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705990	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	368	Mus musculus	2015-02-21	ERR762709	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705991	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	371	Mus musculus	2015-02-21	ERR762710	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705992	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	370	Mus musculus	2015-02-21	ERR762711	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705964	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	394	Mus musculus	2015-02-21	ERR762683	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705994	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	366	Mus musculus	2015-02-21	ERR762713	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705995	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	367	Mus musculus	2015-02-21	ERR762714	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
male	Mus musculus	BUB_BnJ	GCF_000001635.20	202	SAMEA3257408	National Cancer Institute (NCI) at the National Institutes of Health (NIH), Maryland USA	ERX705996	250	Illumina HiSeq 2000	PAIRED		2016-02-25	770	356	Mus musculus	2015-02-21	ERR762715	ERS661322		BUB_BnJ-sc-2231302		Whole-genome sequencing of inbred laboratory mouse strain. DNA obtained from the Jackson laboratory, ME, USA.	BUB_BnJ	WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
